// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.567366;-1.136054;1.944695;-0.024344;-0.008650;0.005057;-0.777588;-0.030518;0.420898;-0.044189;-0.623568;0.110404;-0.772672
28598;9.562924;-1.212805;1.903198;-0.065052;-0.002029;-0.006695;-0.776367;-0.027588;0.426758;-0.044568;-0.623563;0.110789;-0.772599
28599;9.511927;-1.305084;1.990900;-0.083244;0.003741;-0.024131;-0.780273;-0.031494;0.429443;-0.045154;-0.623535;0.111199;-0.772528
28600;9.487234;-1.406398;2.025312;-0.085149;0.006233;-0.029252;-0.778809;-0.032227;0.433838;-0.045789;-0.623489;0.111595;-0.772471
28601;9.513591;-1.511394;1.981365;-0.048001;0.004963;-0.021721;-0.775879;-0.019775;0.420410;-0.046177;-0.623456;0.111796;-0.772446
28602;9.462961;-1.458166;2.054216;-0.007003;-0.004716;-0.002115;-0.779297;-0.029297;0.423828;-0.046208;-0.623479;0.111849;-0.772417
28603;9.456803;-1.329040;2.189734;0.019056;-0.013113;0.014443;-0.779297;-0.031006;0.425781;-0.045980;-0.623545;0.111834;-0.772380
28604;9.462051;-1.299895;2.268823;0.024328;-0.015538;0.015899;-0.778076;-0.022217;0.428467;-0.045707;-0.623614;0.111799;-0.772345
28605;9.577370;-1.276234;2.251342;0.032126;-0.003254;0.009648;-0.780273;-0.033203;0.432861;-0.045440;-0.623596;0.111683;-0.772393
28606;9.681634;-1.292477;2.138153;0.027340;0.008798;-0.003781;-0.786377;-0.031250;0.421875;-0.045290;-0.623494;0.111526;-0.772506
28607;9.632381;-1.370969;1.927792;0.032909;0.017348;-0.007504;-0.776855;-0.034912;0.420410;-0.045138;-0.623333;0.111316;-0.772676
28608;9.493852;-1.247168;1.823123;0.015812;0.005764;-0.004421;-0.773682;-0.029053;0.425537;-0.045034;-0.623238;0.111251;-0.772768
28609;9.432589;-1.256462;1.939580;-0.022361;-0.003408;-0.000176;-0.777588;-0.029785;0.427246;-0.045086;-0.623192;0.111464;-0.772771
28610;9.493523;-1.272054;2.131527;-0.027350;-0.004387;-0.002325;-0.774658;-0.032227;0.422852;-0.045170;-0.623152;0.111706;-0.772763
28611;9.614946;-1.281305;2.172707;-0.035225;0.014129;-0.011141;-0.784668;-0.025146;0.423584;-0.045366;-0.622984;0.111953;-0.772851
28612;9.573222;-1.338174;2.086035;-0.025287;0.027778;-0.019921;-0.781494;-0.031250;0.418701;-0.045565;-0.622721;0.112089;-0.773032
28613;9.487540;-1.299389;2.057284;-0.011085;0.025697;-0.014591;-0.783447;-0.028320;0.426025;-0.045654;-0.622464;0.112176;-0.773221
28614;9.426115;-1.234951;2.066408;-0.014804;0.013282;-0.010022;-0.782715;-0.029053;0.419434;-0.045705;-0.622272;0.112315;-0.773352
28615;9.514476;-1.107008;2.058908;-0.036041;0.009409;-0.003667;-0.773193;-0.032715;0.424805;-0.045827;-0.622088;0.112634;-0.773447
28616;9.593652;-1.107902;2.070140;-0.075045;0.009860;0.003576;-0.780273;-0.033447;0.422852;-0.046142;-0.621897;0.113217;-0.773496
28617;9.600644;-1.113840;2.094770;-0.112015;0.017919;0.005640;-0.780518;-0.034668;0.422852;-0.046627;-0.621615;0.114050;-0.773572
28618;9.508571;-1.096158;2.010550;-0.165901;0.025519;-0.003822;-0.772705;-0.037598;0.420654;-0.047469;-0.621267;0.115167;-0.773635
28619;9.483273;-1.129897;1.936844;-0.196311;0.031564;-0.018510;-0.776855;-0.026611;0.427246;-0.048618;-0.620919;0.116387;-0.773660
28620;9.498657;-1.156891;1.921742;-0.215669;0.029110;-0.023970;-0.785400;-0.029785;0.424316;-0.049840;-0.620588;0.117655;-0.773656
28621;9.463594;-1.250715;1.888164;-0.202481;0.018492;-0.033494;-0.786865;-0.036133;0.420654;-0.051019;-0.620305;0.118814;-0.773629
28622;9.486578;-1.283059;1.822606;-0.165933;0.004402;-0.037406;-0.775146;-0.033447;0.425293;-0.052033;-0.620132;0.119752;-0.773556
28623;9.507174;-1.282267;1.812947;-0.123825;-0.008882;-0.034772;-0.777832;-0.031982;0.424561;-0.052823;-0.620150;0.120395;-0.773388
28624;9.492546;-1.085173;1.983675;-0.142562;-0.022313;-0.027143;-0.786133;-0.031738;0.419678;-0.053617;-0.620238;0.121215;-0.773134
28625;9.520768;-1.116999;2.098358;-0.220116;-0.029091;-0.027173;-0.778564;-0.033447;0.419922;-0.054779;-0.620291;0.122555;-0.772799
28626;9.575159;-1.260104;2.129229;-0.281271;-0.023288;-0.026795;-0.786133;-0.038086;0.414062;-0.056311;-0.620310;0.124263;-0.772401
28627;9.556943;-1.461150;2.103400;-0.279717;-0.027593;-0.034262;-0.787109;-0.041260;0.427246;-0.057868;-0.620299;0.125970;-0.772018
28628;9.553105;-1.551785;2.182120;-0.236124;-0.032128;-0.033657;-0.770264;-0.034668;0.420898;-0.059116;-0.620330;0.127364;-0.771669
28629;9.512473;-1.573062;2.210133;-0.207163;-0.019205;-0.050362;-0.774414;-0.043701;0.417969;-0.060406;-0.620393;0.128468;-0.771336
28630;9.524676;-1.704629;2.138215;-0.198956;-0.010579;-0.050006;-0.782227;-0.047852;0.417725;-0.061670;-0.620336;0.129587;-0.771095
28631;9.460474;-1.815429;2.030998;-0.144351;-0.012583;-0.044406;-0.785645;-0.045898;0.417725;-0.062548;-0.620247;0.130433;-0.770953
28632;9.433452;-1.717457;1.965027;-0.141667;-0.023835;-0.011521;-0.771484;-0.045654;0.428711;-0.063104;-0.620171;0.131465;-0.770794
28633;9.394837;-1.752034;2.072657;-0.172786;-0.024529;0.008476;-0.788574;-0.054199;0.419678;-0.063703;-0.620183;0.132718;-0.770520
28634;9.540340;-1.747042;2.109270;-0.173808;-0.017497;0.003218;-0.772949;-0.050293;0.420166;-0.064300;-0.619987;0.134100;-0.770389
28635;9.577405;-1.692282;2.046032;-0.127834;-0.002892;-0.010204;-0.780762;-0.047852;0.417236;-0.064866;-0.619855;0.135069;-0.770278
28636;9.481310;-1.513769;1.839219;-0.102939;0.007587;-0.013493;-0.786377;-0.055420;0.417969;-0.065221;-0.619608;0.135889;-0.770303
28637;9.420966;-1.387746;1.713590;-0.094283;0.004837;-0.012534;-0.774170;-0.052734;0.416748;-0.065511;-0.619336;0.136696;-0.770355
28638;9.490054;-1.337813;1.858095;-0.104390;-0.000642;-0.014984;-0.775146;-0.055908;0.421875;-0.066026;-0.619222;0.137524;-0.770254
28639;9.484070;-1.265244;2.037893;-0.122478;-0.005446;-0.019781;-0.775635;-0.051025;0.417725;-0.066616;-0.619147;0.138392;-0.770109
28640;9.530626;-1.205097;2.109490;-0.139689;-0.000604;-0.031687;-0.775391;-0.055176;0.416748;-0.067351;-0.619040;0.139304;-0.769966
28641;9.556287;-1.374792;2.118839;-0.115161;0.005629;-0.050698;-0.781006;-0.056885;0.412354;-0.068157;-0.618909;0.139966;-0.769880
28642;9.560203;-1.298318;2.128531;-0.074194;0.023008;-0.059387;-0.775879;-0.054443;0.417236;-0.068795;-0.618624;0.140355;-0.769982
28643;9.631330;-1.320579;2.149781;-0.069198;0.039673;-0.065444;-0.782959;-0.053955;0.417480;-0.069436;-0.618326;0.140563;-0.770126
28644;9.548648;-1.352672;2.031900;-0.077862;0.047030;-0.066081;-0.788818;-0.045410;0.415039;-0.069981;-0.617927;0.140784;-0.770356
28645;9.497755;-1.546425;1.978107;-0.066523;0.041384;-0.058174;-0.778320;-0.059082;0.419678;-0.070180;-0.617544;0.140922;-0.770620
28646;9.442928;-1.615038;1.979928;-0.000321;0.031258;-0.048077;-0.776611;-0.056641;0.415527;-0.070290;-0.617329;0.140710;-0.770821
28647;9.420328;-1.629984;2.015359;0.072594;0.014745;-0.020033;-0.780273;-0.069824;0.412598;-0.069878;-0.617225;0.140240;-0.771027
28648;9.484116;-1.417425;2.155847;0.102133;0.007633;0.003730;-0.773438;-0.055420;0.417480;-0.069374;-0.617059;0.139852;-0.771276
28649;9.507920;-1.225454;2.134974;0.077835;0.010048;0.006899;-0.784424;-0.059326;0.420898;-0.068756;-0.616999;0.139453;-0.771452
28650;9.496724;-1.159762;2.070317;0.049463;0.013599;-0.001025;-0.777832;-0.052246;0.413330;-0.068158;-0.616831;0.139141;-0.771695
28651;9.532398;-1.047704;2.051376;-0.012679;0.021910;-0.013950;-0.777832;-0.052490;0.417480;-0.068142;-0.616602;0.139241;-0.771862
28652;9.495039;-1.127331;1.901929;-0.071930;0.025662;-0.017250;-0.770996;-0.055420;0.416504;-0.068372;-0.616363;0.139606;-0.771966
28653;9.478547;-1.287140;1.885502;-0.079486;0.020676;-0.014411;-0.788330;-0.058350;0.404053;-0.068822;-0.616198;0.140076;-0.771973
28654;9.494139;-1.342395;1.936103;-0.036198;0.010079;-0.014339;-0.773926;-0.056885;0.408936;-0.069037;-0.615868;0.140473;-0.772145
28655;9.530208;-1.395781;2.015274;-0.016219;-0.001165;-0.010884;-0.775146;-0.064453;0.417969;-0.069216;-0.615800;0.140679;-0.772146
28656;9.545957;-1.400452;2.098675;-0.005154;-0.000500;-0.011533;-0.777344;-0.060791;0.418701;-0.069281;-0.615797;0.140701;-0.772138
28657;9.562765;-1.338289;2.048834;0.001980;0.001405;-0.008589;-0.783691;-0.060791;0.416748;-0.069148;-0.615782;0.140644;-0.772172
28658;9.507947;-1.280370;2.047988;-0.018622;0.004212;-0.011685;-0.786377;-0.060547;0.415771;-0.069084;-0.615672;0.140715;-0.772253
28659;9.479148;-1.262058;2.059341;-0.049246;-0.000198;-0.012186;-0.776855;-0.062500;0.415039;-0.069148;-0.615548;0.140982;-0.772297
28660;9.515801;-1.416904;2.031915;-0.054969;-0.005573;-0.010362;-0.778076;-0.053223;0.413086;-0.069442;-0.615519;0.141350;-0.772227
28661;9.607349;-1.495302;2.007437;-0.020595;-0.005379;-0.010194;-0.772949;-0.060303;0.413574;-0.069347;-0.615497;0.141455;-0.772234
28662;9.613644;-1.533732;1.989648;0.031274;-0.007569;-0.009062;-0.772949;-0.056152;0.411133;-0.069216;-0.615547;0.141302;-0.772234
28663;9.472547;-1.470881;1.989560;0.093011;-0.011347;-0.005681;-0.777100;-0.061768;0.415771;-0.068689;-0.615630;0.140789;-0.772309
28664;9.461956;-1.302862;2.026505;0.104315;-0.019310;0.002128;-0.775635;-0.060059;0.416992;-0.068031;-0.615770;0.140203;-0.772362
28665;9.494294;-1.195517;2.093381;0.085168;-0.021729;0.000376;-0.774902;-0.061279;0.415771;-0.067459;-0.615940;0.139713;-0.772365
28666;9.505960;-1.142292;2.023909;0.026774;-0.015349;-0.004182;-0.778564;-0.048340;0.416748;-0.067323;-0.616021;0.139611;-0.772330
28667;9.516110;-1.208379;1.982194;-0.023814;-0.009711;-0.012484;-0.780273;-0.057617;0.412109;-0.067101;-0.616054;0.139658;-0.772315
28668;9.475526;-1.243316;1.952023;-0.046709;-0.006205;-0.027623;-0.772705;-0.054688;0.423340;-0.067444;-0.615979;0.139921;-0.772297
28669;9.431735;-1.382847;1.942926;-0.061144;-0.007768;-0.030905;-0.777588;-0.059326;0.416992;-0.067617;-0.616126;0.140053;-0.772141
28670;9.544541;-1.539367;2.015849;-0.029297;-0.009782;-0.022384;-0.771973;-0.063232;0.414795;-0.067771;-0.616162;0.140160;-0.772080
28671;9.508704;-1.515844;2.001968;0.019419;-0.010343;-0.010469;-0.777832;-0.062744;0.417969;-0.067821;-0.616220;0.140109;-0.772038
28672;9.536554;-1.434057;1.986065;0.043761;-0.013255;-0.004164;-0.779541;-0.063477;0.415283;-0.067532;-0.616301;0.139854;-0.772045
28673;9.528297;-1.330668;1.993115;0.041828;-0.021657;0.001670;-0.774658;-0.057617;0.412354;-0.067281;-0.616375;0.139700;-0.772036
28674;9.515057;-1.287301;1.947051;0.044104;-0.027667;0.005852;-0.777344;-0.054443;0.411621;-0.066964;-0.616484;0.139587;-0.771996
28675;9.536943;-1.250933;1.941699;0.032865;-0.031366;0.001230;-0.779053;-0.057373;0.412598;-0.066639;-0.616587;0.139505;-0.771957
28676;9.574878;-1.320280;1.915787;0.020275;-0.023995;-0.008763;-0.785156;-0.061523;0.415771;-0.066515;-0.616639;0.139450;-0.771936
28677;9.573460;-1.389047;1.902427;-0.000461;-0.027129;-0.016344;-0.773926;-0.062012;0.426270;-0.066534;-0.616701;0.139451;-0.771885
28678;9.583706;-1.488326;1.888789;-0.006924;-0.034589;-0.016578;-0.768555;-0.054443;0.423828;-0.066491;-0.617036;0.139379;-0.771634
28679;9.745716;-1.631481;1.836810;-0.026095;-0.040476;-0.005620;-0.778564;-0.053711;0.426758;-0.066357;-0.617394;0.139500;-0.771337
28680;9.758049;-1.615268;1.862814;-0.067150;-0.055744;0.022834;-0.779785;-0.056152;0.410645;-0.066048;-0.617752;0.139965;-0.770993
28681;9.600710;-1.659199;1.931832;-0.109905;-0.071797;0.045541;-0.775146;-0.057373;0.420898;-0.066259;-0.617903;0.141144;-0.770639
28682;9.407774;-1.796690;1.855511;0.015467;-0.064494;0.041170;-0.774658;-0.056885;0.416016;-0.065692;-0.618255;0.141339;-0.770369
28683;9.282253;-1.562527;1.934540;0.212113;-0.050545;0.012423;-0.775391;-0.051025;0.420166;-0.064457;-0.618574;0.140227;-0.770421
28684;9.281529;-1.207210;2.102302;0.310272;-0.024292;-0.018181;-0.770264;-0.055664;0.430908;-0.062725;-0.618855;0.138216;-0.770701
28685;9.401957;-0.923600;2.176943;0.247742;0.011705;-0.028295;-0.777344;-0.053467;0.427979;-0.061437;-0.619058;0.136426;-0.770961
28686;9.475934;-0.871486;1.976092;0.137118;0.028333;-0.027841;-0.778076;-0.054199;0.419434;-0.060719;-0.618994;0.135349;-0.771259
28687;9.444691;-0.883395;1.952577;0.079879;0.013670;-0.023830;-0.765869;-0.058594;0.422852;-0.060503;-0.618863;0.134812;-0.771475
28688;9.469711;-0.884719;2.096950;0.028987;-0.012788;-0.013294;-0.765625;-0.052979;0.418213;-0.060635;-0.619005;0.134687;-0.771373
28689;9.448166;-1.053464;2.257748;-0.043511;-0.029234;-0.000217;-0.772949;-0.044922;0.430176;-0.060983;-0.619133;0.135135;-0.771164
28690;9.484863;-1.197984;2.292913;-0.141584;-0.031454;0.026817;-0.776367;-0.049316;0.423096;-0.061098;-0.619314;0.136084;-0.770842
28691;9.543022;-1.362807;2.093251;-0.221989;-0.016384;0.034242;-0.767334;-0.053955;0.425293;-0.061841;-0.619204;0.137700;-0.770585
28692;9.789870;-1.722719;1.670455;-0.174914;-0.004999;0.028019;-0.778076;-0.055420;0.427002;-0.062535;-0.619144;0.139001;-0.770343
28693;9.692265;-1.644848;1.503816;-0.030528;-0.006583;0.025239;-0.780762;-0.054688;0.420410;-0.062379;-0.619125;0.139298;-0.770318
28694;9.719445;-1.401757;1.456897;0.063275;-0.011247;0.019109;-0.773926;-0.048096;0.421387;-0.061879;-0.619080;0.139057;-0.770438
28695;9.662858;-1.148845;1.519385;0.035285;-0.011686;0.002768;-0.773682;-0.052734;0.422852;-0.061506;-0.619113;0.138895;-0.770470
28696;9.603355;-1.048757;1.802540;-0.013121;-0.011582;-0.019197;-0.775391;-0.051758;0.422363;-0.061644;-0.619172;0.138939;-0.770404
28697;9.516619;-1.043410;2.000352;-0.048833;-0.001922;-0.037552;-0.774170;-0.051514;0.421143;-0.062063;-0.619153;0.139101;-0.770356
28698;9.425599;-1.111404;2.118062;-0.059133;0.003557;-0.039813;-0.777832;-0.057129;0.422852;-0.062566;-0.619088;0.139326;-0.770327
28699;9.484271;-1.225243;2.127098;-0.056454;0.009966;-0.038560;-0.763428;-0.058594;0.427246;-0.063125;-0.618980;0.139518;-0.770334
28700;9.523795;-1.355493;2.077508;-0.059391;0.009311;-0.030321;-0.783447;-0.058594;0.425781;-0.063686;-0.619032;0.139769;-0.770200
28701;9.578374;-1.477047;1.908002;-0.038770;0.015891;-0.024470;-0.780518;-0.062012;0.426514;-0.063959;-0.618883;0.139846;-0.770283
28702;9.614475;-1.562455;1.750961;-0.003585;0.018811;-0.025724;-0.772949;-0.055908;0.429688;-0.064142;-0.618772;0.139703;-0.770383
28703;9.570525;-1.499300;1.687223;0.037137;0.015962;-0.024057;-0.770020;-0.053711;0.424316;-0.063923;-0.618804;0.139272;-0.770454
28704;9.515295;-1.388624;1.723090;0.037877;0.004608;-0.019766;-0.778564;-0.044678;0.422852;-0.063728;-0.618849;0.138940;-0.770494
28705;9.521153;-1.308942;1.876070;0.008732;-0.008561;-0.014657;-0.771484;-0.064209;0.420410;-0.063376;-0.618878;0.138783;-0.770527
28706;9.583043;-1.302503;1.963160;0.004203;-0.008738;-0.007931;-0.776123;-0.060303;0.422607;-0.063616;-0.618912;0.138826;-0.770473
28707;9.554123;-1.250580;1.907223;0.025431;-0.005967;-0.004502;-0.766846;-0.060059;0.423584;-0.063542;-0.618935;0.138682;-0.770487
28708;9.481688;-1.206376;1.918218;0.022969;-0.012271;0.000339;-0.767334;-0.057373;0.420654;-0.063491;-0.619065;0.138608;-0.770399
28709;9.452051;-1.223887;1.923402;0.015607;-0.019548;0.000638;-0.777344;-0.062744;0.418457;-0.063452;-0.619189;0.138609;-0.770303
28710;9.576658;-1.329875;1.963777;0.012276;-0.019235;0.001026;-0.779297;-0.052490;0.427979;-0.063541;-0.619208;0.138636;-0.770276
28711;9.617551;-1.310389;1.852378;0.010468;-0.009519;-0.003729;-0.775146;-0.056396;0.425781;-0.063258;-0.619285;0.138503;-0.770261
28712;9.595179;-1.297922;1.815501;-0.016704;-0.002601;-0.010145;-0.772461;-0.046631;0.423340;-0.063331;-0.619307;0.138560;-0.770227
28713;9.550044;-1.340916;1.841693;-0.027095;0.003408;-0.013291;-0.774414;-0.057129;0.425781;-0.063287;-0.619272;0.138661;-0.770240
28714;9.500127;-1.307893;1.889784;-0.010964;0.005136;-0.011929;-0.770508;-0.059082;0.429443;-0.063367;-0.619257;0.138671;-0.770244
28715;9.443857;-1.268900;1.986114;0.008059;0.004047;-0.006073;-0.773193;-0.059082;0.427002;-0.063320;-0.619329;0.138572;-0.770208
28716;9.548940;-1.305845;1.974115;0.022229;0.003195;-0.000438;-0.776123;-0.055420;0.428223;-0.063185;-0.619354;0.138425;-0.770225
28717;9.615662;-1.240972;1.881499;0.002882;0.006504;-0.001252;-0.774414;-0.052979;0.429688;-0.063042;-0.619345;0.138366;-0.770255
28718;9.585654;-1.309417;1.855239;-0.048831;0.005735;-0.001429;-0.773682;-0.057617;0.424316;-0.063100;-0.619344;0.138624;-0.770204
28719;9.515139;-1.398444;1.937584;-0.071910;0.009198;0.003126;-0.780029;-0.058594;0.426514;-0.063443;-0.619238;0.139116;-0.770173
