// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;0.398449;9.614629;0.919984;-0.005835;0.001809;-0.006803;0.132080;-0.639893;-0.523193;0.607035;0.535371;-0.407207;-0.423166
28598;0.411174;9.678065;0.880229;0.034323;0.004460;-0.001366;0.132324;-0.634277;-0.519287;0.606892;0.535565;-0.407300;-0.423037
28599;0.409849;9.691344;0.894545;-0.013066;0.002477;-0.001852;0.125244;-0.634521;-0.512939;0.606952;0.535514;-0.407231;-0.423080
28600;0.421655;9.749801;0.904913;-0.037777;0.005709;-0.002291;0.128418;-0.636230;-0.512207;0.607132;0.535351;-0.407059;-0.423194
28601;0.383151;9.697436;0.922557;-0.014402;0.010705;-0.008138;0.134766;-0.627686;-0.525146;0.607203;0.535344;-0.406919;-0.423236
28602;0.329667;9.660601;0.925776;-0.028103;0.003891;-0.004433;0.134033;-0.634521;-0.521729;0.607325;0.535231;-0.406781;-0.423335
28603;0.353140;9.666567;0.925888;-0.017905;-0.006398;-0.006287;0.129883;-0.637939;-0.519043;0.607359;0.535142;-0.406721;-0.423458
28604;0.368389;9.703634;0.856622;0.015081;-0.007755;0.002348;0.130371;-0.628906;-0.515625;0.607271;0.535186;-0.406821;-0.423431
28605;0.351438;9.710027;0.932594;-0.042278;-0.011970;-0.000011;0.127686;-0.640869;-0.515137;0.607412;0.534938;-0.406732;-0.423629
28606;0.412257;9.651588;0.953039;-0.081537;-0.017546;0.000366;0.122559;-0.639160;-0.522705;0.607709;0.534471;-0.406531;-0.423985
28607;0.442924;9.606635;0.973117;-0.032108;-0.004735;-0.002885;0.132080;-0.639648;-0.528076;0.607818;0.534310;-0.406427;-0.424132
28608;0.417741;9.630914;0.965622;0.025631;-0.001158;0.001688;0.132812;-0.636475;-0.519775;0.607701;0.534435;-0.406530;-0.424042
28609;0.447515;9.648234;0.951946;-0.006773;-0.001557;0.007050;0.130615;-0.635498;-0.517334;0.607748;0.534375;-0.406546;-0.424036
28610;0.432073;9.689506;0.973222;-0.026562;0.004206;0.010789;0.131836;-0.637207;-0.523926;0.607917;0.534220;-0.406482;-0.424050
28611;0.434696;9.675930;0.961756;-0.030476;-0.005842;0.009058;0.120850;-0.631348;-0.521484;0.608066;0.534013;-0.406448;-0.424129
28612;0.520653;9.636843;0.992431;-0.067824;-0.018524;0.014657;0.125488;-0.639893;-0.528076;0.608359;0.533550;-0.406375;-0.424362
28613;0.452952;9.595737;0.934237;-0.018531;0.014959;0.010650;0.123535;-0.632568;-0.521484;0.608538;0.533462;-0.406295;-0.424292
28614;0.307264;9.690133;0.818673;0.064212;0.011101;0.004278;0.124268;-0.632324;-0.528076;0.608314;0.533803;-0.406501;-0.423988
28615;0.387679;9.905067;1.002236;0.033541;-0.046576;0.012388;0.130615;-0.637939;-0.517578;0.608044;0.533771;-0.406927;-0.424005
28616;0.503608;9.794446;0.928818;-0.082590;-0.015063;0.004082;0.125244;-0.637695;-0.520752;0.608367;0.533299;-0.406742;-0.424315
28617;0.347927;9.612448;0.824696;-0.071910;0.012482;-0.002274;0.124512;-0.637451;-0.523193;0.608713;0.532994;-0.406438;-0.424493
28618;0.216321;9.731568;0.855776;0.043081;-0.035732;0.010725;0.134521;-0.642334;-0.523193;0.608419;0.533070;-0.406847;-0.424428
28619;0.358899;9.832804;0.832446;-0.005544;-0.074147;0.028540;0.127930;-0.626709;-0.518311;0.608256;0.532733;-0.407343;-0.424608
28620;0.514425;9.764064;0.841439;-0.153930;-0.083167;0.035262;0.114258;-0.631348;-0.520264;0.608744;0.531585;-0.407379;-0.425312
28621;0.559610;9.632627;1.025884;-0.170061;-0.057423;0.023629;0.116455;-0.630127;-0.526611;0.609333;0.530477;-0.407218;-0.426006
28622;0.515024;9.618087;1.049815;-0.042391;-0.038235;0.016419;0.123291;-0.631836;-0.521484;0.609408;0.530100;-0.407383;-0.426211
28623;0.530824;9.712022;1.003826;0.011832;-0.038760;0.015271;0.125244;-0.625000;-0.520508;0.609248;0.530009;-0.407723;-0.426226
28624;0.547753;9.726261;1.012249;-0.096230;-0.053170;0.010368;0.112793;-0.624268;-0.528076;0.609517;0.529322;-0.407717;-0.426701
28625;0.612962;9.609737;1.020227;-0.152898;-0.024508;0.009766;0.123047;-0.623047;-0.526367;0.610122;0.528415;-0.407404;-0.427259
28626;0.532605;9.585059;1.036958;-0.050405;0.002093;0.012184;0.110352;-0.630615;-0.534180;0.610392;0.528137;-0.407304;-0.427314
28627;0.562927;9.663251;1.006828;-0.004508;-0.016196;0.022092;0.112061;-0.625488;-0.524414;0.610407;0.527966;-0.407575;-0.427245
28628;0.567611;9.667708;0.967576;-0.050263;0.010395;0.024431;0.126953;-0.623047;-0.526611;0.610737;0.527654;-0.407533;-0.427198
28629;0.481622;9.702178;1.022029;-0.046339;0.001124;0.030165;0.121338;-0.626953;-0.531250;0.611061;0.527352;-0.407518;-0.427123
28630;0.506169;9.709239;1.049397;-0.034260;-0.040384;0.037064;0.116455;-0.630615;-0.531494;0.611195;0.526926;-0.407829;-0.427159
28631;0.593641;9.637631;1.011933;-0.076636;-0.019476;0.029626;0.113037;-0.626465;-0.532227;0.611546;0.526378;-0.407882;-0.427282
28632;0.496110;9.582351;1.072741;-0.053536;-0.008175;0.024268;0.123291;-0.623047;-0.523926;0.611819;0.525983;-0.407942;-0.427321
28633;0.461430;9.645676;0.983991;0.018921;-0.020338;0.026186;0.107178;-0.631104;-0.531982;0.611771;0.525972;-0.408237;-0.427120
28634;0.493333;9.700902;1.021099;-0.026473;-0.049411;0.030576;0.119385;-0.630615;-0.533936;0.611778;0.525538;-0.408683;-0.427219
28635;0.558318;9.690677;0.998642;-0.067167;-0.061893;0.024804;0.115479;-0.627686;-0.535889;0.611923;0.524935;-0.408943;-0.427504
28636;0.522348;9.742863;1.002909;-0.041594;-0.054871;0.020492;0.104248;-0.629639;-0.534180;0.611961;0.524477;-0.409250;-0.427718
28637;0.533248;9.703780;1.040647;-0.063144;-0.079290;0.033183;0.114990;-0.624756;-0.532959;0.612022;0.523735;-0.409739;-0.428070
