// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.642619;-1.772983;-0.385541;0.183494;-0.004110;-0.057128;-0.607666;0.537842;-0.278809;0.641328;-0.389544;-0.606650;-0.262545
28598;9.626667;-1.674656;-0.405175;0.142912;-0.000999;-0.057824;-0.608643;0.536621;-0.276123;0.641660;-0.388490;-0.607155;-0.262128
28599;9.641983;-1.705457;-0.416785;0.123524;-0.012672;-0.058584;-0.615967;0.533447;-0.273193;0.641864;-0.387563;-0.607684;-0.261776
28600;9.686543;-1.717915;-0.286287;0.121910;-0.020334;-0.054284;-0.612549;0.534180;-0.270996;0.642035;-0.386680;-0.608234;-0.261384
28601;9.696684;-1.730789;-0.234799;0.091201;-0.000555;-0.044573;-0.610107;0.543701;-0.284912;0.642229;-0.385965;-0.608579;-0.261160
28602;9.737151;-1.743886;-0.217182;0.062003;0.000867;-0.031498;-0.611572;0.536133;-0.278076;0.642369;-0.385467;-0.608807;-0.261021
28603;9.690905;-1.766303;-0.293431;0.024200;0.022978;-0.020947;-0.611084;0.533447;-0.280029;0.642526;-0.385174;-0.608797;-0.261090
28604;9.577955;-1.871692;-0.479249;-0.006454;0.034800;-0.021870;-0.613281;0.542236;-0.274902;0.642646;-0.385013;-0.608656;-0.261359
28605;9.581000;-1.870335;-0.453891;0.043465;0.018110;-0.009724;-0.614502;0.529785;-0.273438;0.642866;-0.384691;-0.608676;-0.261247
28606;9.630522;-1.811593;-0.380368;0.056366;0.003006;-0.004069;-0.618896;0.526123;-0.282959;0.643060;-0.384371;-0.608786;-0.260982
28607;9.611731;-1.882821;-0.348187;0.080795;-0.002310;-0.009985;-0.612061;0.526123;-0.288330;0.643294;-0.383904;-0.608996;-0.260604
28608;9.695807;-1.873667;-0.272127;0.107056;-0.012929;0.001325;-0.609131;0.530518;-0.281494;0.643586;-0.383385;-0.609278;-0.259989
28609;9.741472;-1.769208;-0.312125;0.101258;0.000555;0.029128;-0.611816;0.529785;-0.281982;0.643995;-0.383011;-0.609377;-0.259292
28610;9.682359;-1.683982;-0.382134;0.051177;0.007473;0.051375;-0.608643;0.531494;-0.285889;0.644331;-0.383003;-0.609256;-0.258753
28611;9.560521;-1.765389;-0.493747;0.008203;0.019658;0.046811;-0.619385;0.536377;-0.284668;0.644577;-0.383172;-0.608997;-0.258501
28612;9.794283;-1.690792;-0.335773;-0.061915;0.035620;0.063488;-0.611572;0.528809;-0.287842;0.644706;-0.383776;-0.608455;-0.258559
28613;10.208696;-1.153427;0.425735;-0.305468;0.153540;0.134223;-0.612305;0.534180;-0.279785;0.644800;-0.385779;-0.606532;-0.259860
28614;10.203318;-0.929374;0.726666;-0.848719;0.401045;0.236799;-0.609131;0.541992;-0.281738;0.644631;-0.390592;-0.601730;-0.264217
