// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;8.247510;-0.385083;-5.327506;0.006235;0.055724;-0.011428;-0.819580;-0.237061;0.038330;0.455259;0.229625;-0.847678;0.146470
28598;8.237017;-0.381521;-5.299961;0.008488;0.054152;-0.009209;-0.818848;-0.234375;0.044678;0.455637;0.229656;-0.847445;0.146599
28599;8.213992;-0.334024;-5.299307;0.013948;0.048602;-0.014077;-0.824707;-0.234131;0.046143;0.455962;0.229749;-0.847220;0.146739
28600;8.213468;-0.375489;-5.312309;0.017218;0.040020;-0.012854;-0.820801;-0.237793;0.050781;0.456227;0.229856;-0.847023;0.146887
28601;8.231365;-0.371169;-5.275005;0.021081;0.029074;-0.015551;-0.820068;-0.221924;0.037842;0.456411;0.230011;-0.846857;0.147032
28602;8.277065;-0.305271;-5.279047;0.023780;0.026686;-0.018225;-0.822754;-0.230469;0.046143;0.456576;0.230198;-0.846691;0.147180
28603;8.282533;-0.255697;-5.236678;0.017947;0.024563;-0.023846;-0.819824;-0.234131;0.042725;0.456746;0.230406;-0.846528;0.147260
28604;8.271473;-0.264653;-5.285204;0.013191;0.025900;-0.020668;-0.821533;-0.224609;0.043457;0.456936;0.230575;-0.846370;0.147315
28605;8.238290;-0.299431;-5.261109;0.010026;0.023333;-0.017117;-0.822754;-0.239502;0.049316;0.457112;0.230714;-0.846231;0.147351
28606;8.251251;-0.281892;-5.251751;0.008586;0.022164;-0.009960;-0.830811;-0.239258;0.042725;0.457275;0.230800;-0.846112;0.147398
28607;8.360503;-0.287341;-5.282562;0.007289;0.028747;-0.004369;-0.816895;-0.237549;0.033936;0.457483;0.230836;-0.845977;0.147464
28608;8.374480;-0.270951;-5.271474;0.004314;0.041082;-0.001405;-0.817871;-0.234131;0.042236;0.457786;0.230828;-0.845803;0.147540
28609;8.316979;-0.266725;-5.270445;0.001709;0.055521;-0.007355;-0.820557;-0.236084;0.043213;0.458209;0.230838;-0.845561;0.147596
28610;8.356029;-0.338560;-5.301137;0.005282;0.062446;-0.009248;-0.819824;-0.237305;0.038330;0.458680;0.230870;-0.845283;0.147676
28611;8.360757;-0.447023;-5.277336;0.019395;0.070945;-0.009168;-0.827393;-0.232422;0.037598;0.459185;0.230946;-0.844954;0.147871
28612;8.351828;-0.445854;-5.246779;0.037274;0.080526;-0.002945;-0.822266;-0.236084;0.033203;0.459713;0.231031;-0.844578;0.148242
28613;8.307525;-0.367616;-5.222106;0.050694;0.089616;-0.008727;-0.824463;-0.234131;0.038574;0.460286;0.231190;-0.844140;0.148713
28614;8.218542;-0.348538;-5.235030;0.053953;0.090999;-0.024616;-0.825928;-0.236816;0.028564;0.460880;0.231472;-0.843662;0.149148
28615;8.134096;-0.346778;-5.242530;0.057332;0.073604;-0.037434;-0.815186;-0.238525;0.036865;0.461359;0.231881;-0.843222;0.149522
28616;8.102273;-0.376694;-5.226749;0.056778;0.047487;-0.040706;-0.821045;-0.241699;0.033447;0.461635;0.232342;-0.842890;0.149822
28617;8.027658;-0.369606;-5.208995;0.059517;0.012017;-0.042186;-0.821777;-0.242188;0.034912;0.461652;0.232874;-0.842691;0.150063
28618;7.974337;-0.343152;-5.223254;0.058444;-0.031568;-0.036653;-0.814209;-0.243896;0.035156;0.461339;0.233420;-0.842681;0.150231
28619;8.142103;-0.303379;-5.185100;0.055666;-0.062845;-0.030260;-0.819336;-0.228760;0.040771;0.460786;0.233948;-0.842818;0.150339
28620;8.344631;-0.289157;-5.215167;0.048293;-0.068881;-0.022667;-0.828125;-0.235352;0.040283;0.460178;0.234387;-0.843016;0.150411
28621;8.220905;-0.248566;-5.269779;0.037778;-0.061030;-0.013154;-0.824463;-0.235596;0.038818;0.459638;0.234731;-0.843207;0.150450
28622;8.131526;-0.279141;-5.265159;0.022781;-0.084804;-0.002573;-0.817627;-0.236816;0.044189;0.458952;0.234973;-0.843528;0.150371
28623;8.673737;-0.287649;-5.241459;0.010745;-0.064536;0.004453;-0.817383;-0.233643;0.046875;0.458420;0.235095;-0.843803;0.150263
28624;8.501516;-0.342636;-5.296850;-0.004011;-0.018571;0.014710;-0.829590;-0.230469;0.040771;0.458246;0.235020;-0.843932;0.150181
28625;8.270943;-0.338434;-5.296468;-0.008643;-0.010554;0.018035;-0.822754;-0.232178;0.042969;0.458132;0.234898;-0.844042;0.150102
