// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.751643;-0.401527;-0.711915;0.028008;0.018752;0.008087;-0.684814;0.234863;-0.411377;0.667270;-0.174850;-0.711256;-0.135252
28598;9.818055;-0.460187;-0.672156;0.006533;0.023745;0.002118;-0.686523;0.237793;-0.410889;0.667423;-0.174800;-0.711128;-0.135236
28599;9.815661;-0.501735;-0.669084;0.001818;0.032432;0.000167;-0.690918;0.234863;-0.405518;0.667616;-0.174758;-0.710950;-0.135271
28600;9.786340;-0.540282;-0.689204;0.006152;0.027751;-0.002205;-0.687012;0.236572;-0.402832;0.667788;-0.174680;-0.710805;-0.135286
28601;9.799414;-0.551771;-0.674120;0.013718;0.016591;-0.001150;-0.684814;0.250000;-0.416748;0.667906;-0.174581;-0.710728;-0.135232
28602;9.776903;-0.547743;-0.736248;0.015893;0.013638;-0.002554;-0.688477;0.239990;-0.408936;0.668010;-0.174468;-0.710671;-0.135165
28603;9.765173;-0.505727;-0.734435;0.009695;0.006477;0.004348;-0.689941;0.238525;-0.408936;0.668070;-0.174444;-0.710637;-0.135081
28604;9.732745;-0.475650;-0.684403;0.002748;-0.002894;0.011475;-0.687744;0.246094;-0.406250;0.668072;-0.174515;-0.710637;-0.134981
28605;9.748960;-0.418069;-0.661882;-0.004563;-0.019692;0.022699;-0.688477;0.236084;-0.402832;0.667977;-0.174714;-0.710705;-0.134834
28606;9.773900;-0.495664;-0.675907;-0.020253;-0.028128;0.023050;-0.696045;0.234375;-0.414307;0.667811;-0.175012;-0.710800;-0.134765
28607;9.812204;-0.605121;-0.701327;-0.023370;-0.035010;0.025970;-0.686035;0.233398;-0.415283;0.667606;-0.175356;-0.710924;-0.134685
28608;9.761752;-0.729501;-0.736210;-0.009221;-0.027317;0.027357;-0.684814;0.239990;-0.407959;0.667471;-0.175631;-0.711015;-0.134514
28609;9.735770;-0.786727;-0.671662;0.022727;-0.024960;0.025804;-0.687500;0.239502;-0.407959;0.667397;-0.175734;-0.711128;-0.134146
28610;9.775733;-0.825247;-0.660839;0.063609;-0.014771;0.018928;-0.683838;0.239746;-0.411133;0.667443;-0.175579;-0.711233;-0.133566
28611;9.801272;-0.664449;-0.652882;0.099728;0.009012;0.011809;-0.695312;0.240723;-0.410156;0.667684;-0.175176;-0.711245;-0.132822
28612;9.829520;-0.577866;-0.570067;0.111916;0.033851;0.003008;-0.686035;0.238037;-0.417236;0.668088;-0.174645;-0.711135;-0.132074
28613;9.901774;-0.690137;-0.473075;0.127821;0.063120;-0.008023;-0.690674;0.236084;-0.410156;0.668688;-0.173919;-0.710885;-0.131344
28614;9.864193;-0.715737;-0.537242;0.151593;0.078513;-0.013347;-0.689697;0.236816;-0.417236;0.669425;-0.173024;-0.710565;-0.130503
28615;9.820832;-0.465464;-0.783337;0.153919;0.069318;-0.019917;-0.681885;0.234619;-0.411133;0.670122;-0.172103;-0.710285;-0.129665
28616;9.710732;-0.014178;-0.962689;0.095539;0.063899;-0.035176;-0.683838;0.232422;-0.415771;0.670657;-0.171386;-0.710028;-0.129254
28617;9.644246;0.002845;-0.867369;-0.023924;0.041234;-0.024904;-0.687012;0.233154;-0.415283;0.670868;-0.171400;-0.709779;-0.129505
28618;9.670159;-0.479141;-0.724574;-0.110322;-0.002202;0.024759;-0.677490;0.229248;-0.417725;0.670728;-0.172217;-0.709632;-0.129957
28619;9.770185;-0.897788;-0.691751;-0.094650;0.001814;0.064422;-0.684082;0.244629;-0.410889;0.670661;-0.173133;-0.709440;-0.130129
28620;9.811880;-0.879779;-0.653170;-0.033808;0.037003;0.057924;-0.691895;0.240479;-0.409912;0.670903;-0.173721;-0.709101;-0.129946
28621;9.796422;-0.668370;-0.633636;-0.022383;0.042019;0.036015;-0.689209;0.239014;-0.414307;0.671164;-0.174158;-0.708775;-0.129793
28622;9.844543;-0.710121;-0.551052;-0.042582;0.026310;0.028833;-0.680420;0.243652;-0.412109;0.671299;-0.174678;-0.708520;-0.129785
28623;9.891744;-0.870189;-0.680616;-0.010464;0.029111;0.034463;-0.681885;0.245605;-0.407715;0.671521;-0.175017;-0.708269;-0.129556
28624;9.736546;-0.813091;-0.701202;0.043357;0.033844;0.043112;-0.691895;0.247803;-0.416748;0.671853;-0.175130;-0.708041;-0.128924
28625;9.621379;-0.573140;-0.693807;0.053317;0.012118;0.037489;-0.684082;0.249023;-0.414062;0.672076;-0.175291;-0.707916;-0.128226
28626;9.634414;-0.454884;-0.731862;0.012495;-0.021144;0.039032;-0.692383;0.241455;-0.418945;0.672039;-0.175659;-0.707951;-0.127720
28627;9.728996;-0.542032;-0.717358;-0.037864;-0.036116;0.049316;-0.690674;0.245605;-0.406982;0.671821;-0.176427;-0.708012;-0.127471
28628;9.817670;-0.661655;-0.674538;-0.044397;-0.036274;0.051569;-0.674316;0.252686;-0.413574;0.671572;-0.177190;-0.708108;-0.127190
28629;9.814897;-0.679199;-0.670560;-0.025101;-0.032471;0.038724;-0.681396;0.246826;-0.412109;0.671415;-0.177653;-0.708183;-0.126957
28630;9.748253;-0.510602;-0.763187;-0.017394;-0.037896;0.028057;-0.689209;0.242432;-0.413818;0.671193;-0.178053;-0.708337;-0.126715
28631;9.741581;-0.334062;-0.861189;-0.046619;-0.052900;0.018084;-0.691162;0.249756;-0.412109;0.670797;-0.178622;-0.708571;-0.126698
28632;9.723538;-0.325814;-0.842064;-0.104027;-0.072280;0.025994;-0.677002;0.249268;-0.400879;0.670204;-0.179623;-0.708833;-0.126954
28633;9.742463;-0.500691;-0.753092;-0.139062;-0.078927;0.039575;-0.692871;0.245361;-0.408691;0.669526;-0.180652;-0.709148;-0.127313
28634;9.812879;-0.658257;-0.722207;-0.144303;-0.078026;0.042650;-0.682617;0.247314;-0.406494;0.668812;-0.181902;-0.709424;-0.127747
28635;9.851137;-0.758501;-0.764925;-0.125145;-0.058252;0.035390;-0.685059;0.254150;-0.411377;0.668273;-0.182860;-0.709614;-0.128146
28636;9.836428;-0.710705;-0.743419;-0.102761;-0.046235;0.031185;-0.693848;0.249512;-0.405762;0.667858;-0.183761;-0.709711;-0.128483
28637;9.757357;-0.644426;-0.798905;-0.099490;-0.040651;0.036100;-0.682861;0.251465;-0.404541;0.667431;-0.184681;-0.709826;-0.128747
28638;9.712377;-0.625026;-0.790133;-0.098717;-0.050628;0.031371;-0.683105;0.250977;-0.398926;0.666987;-0.185469;-0.709988;-0.129021
28639;9.697637;-0.774297;-0.786318;-0.102175;-0.063835;0.035840;-0.685547;0.260986;-0.400635;0.666447;-0.186286;-0.710240;-0.129244
28640;9.789343;-0.870915;-0.771421;-0.083163;-0.063933;0.036766;-0.686035;0.259521;-0.402832;0.665952;-0.187144;-0.710456;-0.129374
