// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.332290;1.581505;-2.445731;0.000239;0.009327;-0.000487;-0.497803;-0.279297;0.606201;-0.177807;-0.784301;0.099970;-0.585885
28598;9.328728;1.572545;-2.467678;-0.002251;0.008385;-0.001105;-0.497070;-0.276367;0.607666;-0.177835;-0.784258;0.099961;-0.585937
28599;9.369531;1.533992;-2.439453;-0.000344;0.009626;-0.001626;-0.503174;-0.280273;0.612549;-0.177849;-0.784214;0.099938;-0.585996
28600;9.360975;1.540309;-2.448031;-0.001809;0.008611;-0.002664;-0.500000;-0.277588;0.613770;-0.177880;-0.784171;0.099917;-0.586047
28601;9.345954;1.557732;-2.422966;-0.002536;0.010299;-0.003486;-0.497559;-0.268799;0.601807;-0.177921;-0.784120;0.099893;-0.586108
28602;9.356622;1.556332;-2.431692;-0.003935;0.007687;0.000143;-0.501953;-0.276123;0.608643;-0.177950;-0.784075;0.099903;-0.586156
28603;9.370799;1.535712;-2.433494;-0.010809;0.008953;-0.001183;-0.501465;-0.278564;0.607178;-0.178031;-0.784015;0.099937;-0.586206
28604;9.356875;1.528876;-2.445143;-0.003493;0.007913;-0.001415;-0.501709;-0.269531;0.609863;-0.178063;-0.783971;0.099937;-0.586256
28605;9.374433;1.544831;-2.470930;-0.003779;0.010688;-0.000781;-0.503418;-0.279053;0.615967;-0.178093;-0.783912;0.099941;-0.586325
28606;9.340337;1.569661;-2.445281;-0.002015;0.013316;-0.000984;-0.508057;-0.282715;0.604248;-0.178111;-0.783844;0.099933;-0.586412
28607;9.351177;1.568194;-2.453436;-0.000185;0.012625;-0.002549;-0.497314;-0.288086;0.601318;-0.178125;-0.783783;0.099907;-0.586493
28608;9.353599;1.545217;-2.424415;0.002229;0.011635;-0.002974;-0.497070;-0.279053;0.608154;-0.178122;-0.783733;0.099869;-0.586568
28609;9.390953;1.525794;-2.402761;-0.000924;0.010783;0.000248;-0.501221;-0.277588;0.606201;-0.178121;-0.783678;0.099871;-0.586641
28610;9.359445;1.530521;-2.434255;0.001206;0.011707;-0.002557;-0.497559;-0.280273;0.604980;-0.178117;-0.783622;0.099846;-0.586721
28611;9.370256;1.529126;-2.442493;0.010002;0.015210;-0.005367;-0.508789;-0.271484;0.607422;-0.178069;-0.783564;0.099757;-0.586828
28612;9.351832;1.565315;-2.424088;0.021560;0.013350;-0.004567;-0.500977;-0.280029;0.602295;-0.177932;-0.783532;0.099624;-0.586936
28613;9.343388;1.571262;-2.432564;0.030950;0.015687;-0.009252;-0.503662;-0.279541;0.608398;-0.177765;-0.783505;0.099411;-0.587058
28614;9.371892;1.557721;-2.420905;0.036382;0.017789;-0.009571;-0.506104;-0.279297;0.598877;-0.177561;-0.783478;0.099165;-0.587197
28615;9.341249;1.563024;-2.388524;0.034922;0.017632;-0.007598;-0.496826;-0.281494;0.607666;-0.177360;-0.783444;0.098944;-0.587340
28616;9.385236;1.532302;-2.400190;0.027671;0.016212;-0.005722;-0.504395;-0.280273;0.607666;-0.177199;-0.783409;0.098766;-0.587466
28617;9.364667;1.507382;-2.394345;0.021079;0.015564;-0.004676;-0.502197;-0.280029;0.609619;-0.177066;-0.783361;0.098634;-0.587593
28618;9.378994;1.486155;-2.395943;0.032876;0.013379;-0.006154;-0.495850;-0.281982;0.603760;-0.176857;-0.783342;0.098439;-0.587713
28619;9.360447;1.521957;-2.378182;0.040813;0.015553;-0.008865;-0.503906;-0.266846;0.611572;-0.176622;-0.783326;0.098190;-0.587847
28620;9.373316;1.581019;-2.374540;0.038415;0.015670;-0.011460;-0.510498;-0.275391;0.610596;-0.176376;-0.783310;0.097932;-0.587985
28621;9.371361;1.576244;-2.416819;0.032774;0.013014;-0.011873;-0.508057;-0.276611;0.608643;-0.176170;-0.783286;0.097709;-0.588115
28622;9.359111;1.517678;-2.417740;0.021401;0.011902;-0.008330;-0.499268;-0.273926;0.610840;-0.176033;-0.783249;0.097565;-0.588229
28623;9.364732;1.531250;-2.413372;0.014934;0.010741;-0.004585;-0.501221;-0.269531;0.611328;-0.175925;-0.783220;0.097466;-0.588317
28624;9.367449;1.565017;-2.352389;0.003840;0.006858;-0.001665;-0.511963;-0.267334;0.607666;-0.175857;-0.783194;0.097445;-0.588375
28625;9.418705;1.553304;-2.318059;-0.008561;0.004956;-0.000717;-0.503906;-0.269531;0.607910;-0.175846;-0.783138;0.097511;-0.588443
28626;9.402829;1.514228;-2.326291;-0.011406;0.003986;-0.004764;-0.510742;-0.274902;0.603027;-0.175898;-0.783091;0.097554;-0.588482
28627;9.391655;1.487759;-2.395099;-0.006250;0.007994;-0.007468;-0.507568;-0.271973;0.610596;-0.175943;-0.783008;0.097575;-0.588576
28628;9.363302;1.529948;-2.451588;0.003946;0.006182;-0.009660;-0.497070;-0.267578;0.607666;-0.175900;-0.782968;0.097510;-0.588653
28629;9.358424;1.574910;-2.421290;0.004756;0.005561;-0.010803;-0.499268;-0.275146;0.606201;-0.175881;-0.782962;0.097417;-0.588681
28630;9.362329;1.614022;-2.380990;-0.004208;0.003458;-0.007681;-0.508057;-0.276123;0.605225;-0.175930;-0.782939;0.097410;-0.588699
28631;9.358554;1.606018;-2.403615;-0.010014;0.003064;-0.004768;-0.509033;-0.274658;0.606934;-0.175989;-0.782883;0.097465;-0.588747
28632;9.365613;1.568814;-2.388681;-0.010157;0.004451;-0.004456;-0.498291;-0.270752;0.616211;-0.176036;-0.782823;0.097511;-0.588805
28633;9.361721;1.532324;-2.427311;-0.000164;0.006480;-0.007994;-0.511475;-0.279541;0.606934;-0.176011;-0.782823;0.097422;-0.588827
